"이름","나이","경기수","타수","타석수","득점","안타","2루타","3루타","홈런"
"지성준",24,99,224,207,22,57,7,0,7
"진갑용",40,11,17,17,2,7,0,0,0
"차일목",35,117,329,276,30,63,8,0,3
"채은성",28,139,578,529,78,175,36,2,25
"채태인",36,130,420,376,44,110,18,0,15
"초이스",28,46,201,176,37,54,8,1,17
"최만호",34,28,43,36,5,3,2,0,0
"최선호",24,33,44,42,8,7,1,0,0
"최승준",30,27,79,72,5,18,3,0,4
"최승환",34,24,53,46,3,13,1,0,1
"최영진",30,61,140,126,13,37,7,0,4
"최원준",21,101,331,302,46,82,14,1,4
"최윤석",31,2,2,0,1,0,0,0,0
"최재원",26,28,105,81,20,27,3,0,4
"최재훈",29,128,341,298,36,78,17,0,1
"최정",31,115,489,406,95,99,16,1,35
"최정민",29,57,95,83,17,21,2,0,2
"최정용",20,48,61,54,10,16,1,1,0
"최주환",30,138,590,519,87,173,39,6,26
"최준석",34,125,464,409,43,119,15,0,14
"최진행",33,57,154,136,14,29,3,0,7
"최항",24,98,257,222,38,65,12,1,7
"최형우",35,143,609,528,92,179,34,1,25
"최희섭",33,80,301,246,31,62,17,0,7
"추승우",34,72,180,158,19,48,7,0,1
"클락",33,125,559,486,85,141,24,4,24
"테임즈",29,142,595,472,130,180,42,5,47
"필",31,143,591,536,81,174,35,1,22
"하주석",24,141,517,484,67,123,20,3,9
"한동민",29,136,562,486,97,138,31,0,41
"한동희",19,87,226,211,24,49,13,1,4
"한상훈",34,77,203,175,23,50,8,1,1
"한승택",24,61,101,89,10,22,6,0,3
"허경민",28,133,577,516,85,167,30,5,10
"허규옥",27,63,121,112,7,25,5,0,1
"허일",26,9,15,14,1,5,0,0,0
"허정협",28,25,24,24,4,6,2,0,0
"호세",41,122,504,415,59,115,21,0,22
"호잉",29,142,590,529,85,162,47,2,30
"홍성흔",38,93,352,301,39,79,12,0,7
"홍재호",31,56,87,76,16,20,6,0,1
"홍창기",25,12,25,18,1,3,2,0,0
"홍현빈",20,8,6,6,1,0,0,0,0
"황경태",21,2,0,0,0,0,0,0,0
"황대인",19,22,44,44,3,12,2,0,2
"황선일",24,7,10,9,0,2,0,0,0
"황윤호",25,82,62,57,11,9,1,0,0
"황재균",31,142,588,530,76,157,41,3,25
"황진수",29,18,26,24,6,4,1,0,1
"히메네스",28,135,579,523,101,161,36,0,26
